EmployeeNumber	Age	Attrition	BusinessTravel	DailyRate	Department	DistanceFromHome	Education	EducationField	EnvironmentSatisfaction	Gender	HourlyRate	JobInvolvement	JobLevel	JobRole	JobSatisfaction	MaritalStatus	MonthlyIncome	MonthlyRate	NumCompaniesWorked	OverTime	PercentSalaryHike	PerformanceRating	RelationshipSatisfaction	StockOptionLevel	TotalWorkingYears	TrainingTimesLastYear	WorkLifeBalance	YearsAtCompany	YearsInCurrentRole	YearsSinceLastPromotion	YearsWithCurrManager
1209	38	No	Travel_Rarely	1440	Research & Development	12	1	Marketing	3	Female	48	4	1	Laboratory Technician	2	Married	5016	19454	5	No	12	3	1	1	18	2	2	0	0	0	0
333	38	No	Travel_Rarely	394	Research & Development	13	3	Other	2	Male	31	2	2	Manager	3	Married	4832	5238	2	No	14	3	1	2	18	3	3	0	0	0	0
813	48	No	Travel_Rarely	405	Research & Development	17	3	Life Sciences	3	Female	40	3	2	Manager	2	Married	5861	4832	0	Yes	12	4	4	1	24	2	3	1	1	1	1
1038	32	No	Travel_Rarely	954	Human Resources	1	4	Technical Degree	3	Female	75	3	1	Human Resources	4	Single	4138	15417	2	No	15	3	4	2	10	3	3	0	0	0	0
1033	35	No	Travel_Rarely	463	Research & Development	10	1	Life Sciences	1	Male	66	3	1	Laboratory Technician	4	Divorced	3780	9204	0	Yes	19	3	3	0	14	2	3	0	0	0	0
1090	27	No	Travel_Rarely	929	Research & Development	14	3	Life Sciences	3	Male	76	2	2	Laboratory Technician	1	Divorced	6736	10882	4	Yes	19	3	4	0	1	2	2	0	0	0	0
440	32	No	Travel_Rarely	395	Research & Development	1	4	Medical	3	Female	59	2	3	Research Director	3	Married	7843	14989	2	No	25	3	2	0	9	1	3	9	0	1	2
514	44	No	Travel_Rarely	405	Research & Development	10	3	Technical Degree	1	Female	32	1	3	Research Director	2	Single	6552	13361	2	No	13	3	1	1	19	2	2	5	4	3	1
1418	38	No	Travel_Frequently	387	Research & Development	11	3	Life Sciences	3	Female	42	3	1	Research Scientist	4	Married	5055	6543	3	No	12	4	1	0	14	3	4	1	0	1	1
1107	36	No	Travel_Rarely	384	Sales	8	4	Marketing	4	Male	50	2	1	Sales Representative	3	Married	4114	14022	2	No	16	3	4	0	16	3	3	1	0	1	0
549	41	No	Travel_Rarely	1323	Human Resources	8	3	Life Sciences	3	Female	87	4	1	Manager	3	Divorced	6044	18642	2	No	12	4	4	1	21	2	3	3	0	2	1
1314	38	No	Travel_Rarely	246	Research & Development	1	1	Other	4	Male	93	4	3	Laboratory Technician	3	Single	9242	4546	3	No	13	3	3	1	16	5	3	8	8	0	1
994	60	Yes	Travel_Rarely	136	Research & Development	18	4	Life Sciences	4	Male	34	3	2	Manager	2	Single	6457	12536	4	Yes	14	3	4	1	34	2	3	0	0	0	0
1497	44	No	Travel_Frequently	523	Research & Development	12	2	Technical Degree	2	Female	93	1	4	Manufacturing Director	3	Married	11188	20909	7	Yes	17	3	1	0	21	5	2	8	8	1	0
255	28	No	Travel_Rarely	992	Research & Development	4	3	Life Sciences	4	Female	57	4	3	Laboratory Technician	4	Divorced	7989	7210	3	No	13	3	4	1	6	4	3	4	1	4	1
323	35	No	Travel_Rarely	1459	Research & Development	12	2	Other	4	Male	91	2	2	Healthcare Representative	4	Married	7133	25966	3	No	13	3	3	0	13	3	3	3	2	0	1
1106	31	No	Travel_Rarely	435	Human Resources	1	3	Life Sciences	3	Female	57	2	2	Manager	2	Divorced	7444	17856	0	No	11	3	4	0	10	2	3	2	0	1	0
745	46	Yes	Travel_Rarely	1045	Research & Development	20	4	Life Sciences	3	Female	61	4	1	Research Scientist	2	Married	6552	26939	1	No	22	3	3	0	23	2	3	1	0	0	0
938	19	Yes	Travel_Rarely	1031	Sales	5	2	Medical	4	Male	63	4	2	Sales Representative	2	Married	4876	24362	2	Yes	17	3	4	3	0	0	1	0	0	0	0
680	49	No	Travel_Rarely	588	Research & Development	3	1	Other	2	Male	97	3	2	Manufacturing Director	3	Married	5469	9924	3	No	24	3	4	2	30	2	3	0	0	0	0
856	45	No	Travel_Frequently	916	Sales	1	4	Marketing	4	Male	55	4	2	Sales Executive	2	Single	4850	12936	1	No	12	3	4	0	23	6	3	3	3	0	2
1247	32	No	Travel_Rarely	546	Research & Development	1	2	Technical Degree	4	Male	69	2	2	Research Scientist	4	Married	6870	12590	1	No	18	3	3	1	6	3	3	0	0	0	0
340	29	No	Travel_Frequently	1120	Research & Development	3	4	Life Sciences	2	Female	78	3	2	Research Director	4	Single	5529	3593	5	No	15	3	3	1	10	5	2	6	2	6	6
87	28	No	Travel_Rarely	1000	Sales	12	4	Other	4	Male	69	4	3	Sales Representative	2	Divorced	8587	22028	5	No	25	3	3	0	5	2	1	5	5	5	0
1437	30	No	Travel_Frequently	671	Research & Development	2	4	Life Sciences	4	Female	62	3	1	Research Scientist	4	Single	4267	11724	3	No	18	3	1	0	8	0	3	2	2	1	2
266	36	No	Travel_Rarely	811	Sales	2	3	Life Sciences	3	Male	51	1	2	Manager	1	Married	7594	15681	2	No	16	3	3	2	10	6	4	6	6	4	6
288	40	No	Travel_Frequently	1241	Research & Development	20	3	Medical	3	Male	30	2	4	Healthcare Representative	3	Married	12762	4957	0	No	24	3	4	1	15	3	4	8	3	0	4
1499	49	No	Travel_Frequently	1365	Research & Development	8	4	Life Sciences	3	Male	76	2	1	Laboratory Technician	3	Divorced	4982	10849	2	Yes	11	3	4	1	25	4	3	2	1	2	2
1053	60	No	Travel_Rarely	429	Research & Development	1	3	Human Resources	4	Female	63	3	3	Manufacturing Director	4	Married	6552	2213	2	No	21	4	2	2	40	6	3	6	2	2	2
1142	50	No	Travel_Rarely	1204	Research & Development	9	2	Medical	3	Female	34	3	2	Research Director	4	Married	6707	16155	2	No	16	3	1	0	27	4	3	1	1	1	1
1362	41	No	Travel_Rarely	245	Sales	7	3	Human Resources	3	Female	86	2	2	Manager	3	Married	6018	7539	3	No	20	3	1	0	18	0	1	2	0	2	0
562	34	Yes	Travel_Rarely	1048	Research & Development	1	2	Life Sciences	3	Female	58	4	3	Manufacturing Director	1	Single	9684	3495	1	No	22	3	4	2	10	6	3	6	4	0	0
746	39	No	Travel_Rarely	1491	Sales	16	3	Other	3	Male	51	2	1	Sales Executive	4	Married	4249	8354	1	Yes	11	3	1	1	15	0	3	0	0	0	0
222	31	Yes	Travel_Rarely	823	Research & Development	29	4	Marketing	4	Male	42	3	1	Research Scientist	3	Married	4232	24804	4	No	12	3	4	3	8	2	3	1	1	1	1
114	43	No	Travel_Frequently	492	Research & Development	3	3	Life Sciences	3	Male	54	3	1	Healthcare Representative	3	Married	4107	9311	4	Yes	11	4	4	1	21	5	4	2	0	1	1
1109	47	Yes	Travel_Rarely	260	Sales	1	2	Medical	3	Male	86	4	4	Manager	1	Divorced	13106	17173	3	Yes	19	3	4	1	27	1	3	8	1	1	1
592	35	No	Non-Travel	489	Sales	15	4	Life Sciences	3	Male	77	3	1	Sales Representative	4	Married	4259	9907	1	No	22	3	2	3	12	2	3	1	0	1	1
175	29	Yes	Travel_Rarely	986	Research & Development	2	3	Life Sciences	1	Female	56	3	2	Healthcare Representative	2	Single	4763	18134	3	Yes	11	3	3	3	9	5	4	2	0	2	0
606	38	No	Travel_Rarely	869	Research & Development	21	4	Life Sciences	3	Male	91	4	2	Laboratory Technician	3	Single	6794	26905	6	No	15	3	4	0	17	2	2	4	4	2	1
495	39	No	Travel_Rarely	679	Research & Development	1	2	Life Sciences	2	Female	92	4	2	Manufacturing Director	1	Married	6552	5905	3	No	15	3	3	1	16	0	3	0	0	0	0
1189	48	No	Travel_Rarely	918	Research & Development	8	2	Marketing	2	Female	66	4	3	Laboratory Technician	4	Married	9931	6700	0	Yes	23	3	4	0	27	4	3	6	0	1	0
19	35	Yes	Travel_Rarely	247	Research & Development	1	4	Life Sciences	2	Female	66	4	3	Manager	2	Married	8677	2548	4	No	16	3	1	2	13	4	3	6	4	2	6
998	36	Yes	Travel_Rarely	1188	Human Resources	14	3	Technical Degree	1	Male	85	2	2	Manager	4	Married	5941	13096	3	Yes	23	3	4	1	12	2	1	4	4	3	2
286	40	No	Travel_Rarely	714	Research & Development	15	5	Technical Degree	4	Male	81	4	5	Manufacturing Director	3	Single	6552	5947	3	Yes	14	3	2	1	15	2	3	13	1	0	0
882	57	No	Travel_Rarely	558	Human Resources	4	4	Life Sciences	3	Male	88	3	2	Human Resources	2	Single	6546	17455	2	No	19	4	3	0	32	4	1	0	0	0	0
1269	52	Yes	Travel_Rarely	944	Research & Development	9	3	Human Resources	2	Female	75	3	1	Research Director	4	Divorced	3243	2706	3	Yes	11	4	3	1	30	2	3	3	3	0	2
1210	45	No	Travel_Rarely	418	Research & Development	11	2	Life Sciences	4	Male	38	4	4	Manufacturing Director	2	Divorced	11386	23286	2	No	19	3	3	0	23	3	2	9	9	2	0
32	33	Yes	Travel_Rarely	502	Research & Development	12	5	Technical Degree	1	Male	95	2	1	Research Scientist	3	Single	3477	17975	3	No	22	3	1	3	11	0	3	2	0	0	2
1113	39	No	Non-Travel	518	Research & Development	2	3	Technical Degree	3	Female	79	2	3	Laboratory Technician	3	Married	10250	6105	2	No	21	3	4	3	17	6	3	6	2	0	6
211	24	No	Travel_Rarely	460	Research & Development	4	3	Medical	2	Female	82	4	2	Research Director	4	Married	8191	16120	2	No	11	3	3	3	5	5	4	1	1	1	1
985	36	No	Travel_Rarely	114	Research & Development	1	3	Life Sciences	3	Male	72	4	1	Research Scientist	4	Single	3479	24546	6	No	15	4	4	1	10	0	2	1	1	1	0
1043	49	No	Travel_Rarely	939	Human Resources	18	1	Life Sciences	4	Female	61	3	3	Human Resources	1	Single	10019	5560	2	No	17	3	4	0	25	6	3	6	0	0	0
429	29	No	Travel_Rarely	640	Research & Development	13	3	Life Sciences	2	Male	72	2	1	Research Scientist	4	Single	4002	21990	3	No	22	3	3	3	7	1	4	0	0	0	0
1211	35	No	Travel_Rarely	354	Sales	1	3	Human Resources	4	Female	92	4	4	Sales Executive	3	Married	12198	8700	0	Yes	21	3	3	2	15	3	2	13	1	0	5
775	39	No	Travel_Rarely	1386	Sales	18	4	Marketing	4	Male	64	2	2	Manager	3	Married	6354	6889	2	No	19	3	4	1	19	0	2	1	1	1	0
331	49	No	Travel_Frequently	648	Sales	2	2	Life Sciences	4	Male	33	3	3	Manager	2	Married	7335	26265	6	No	23	3	3	1	25	0	3	5	0	0	5
189	35	Yes	Travel_Rarely	138	Research & Development	14	4	Life Sciences	3	Male	68	2	1	Manufacturing Director	3	Married	5934	19572	1	Yes	13	4	2	2	11	5	4	0	0	0	0
383	38	No	Travel_Rarely	756	Sales	4	2	Life Sciences	3	Female	99	2	1	Sales Executive	2	Single	3752	21785	1	Yes	14	3	1	2	16	4	2	3	3	1	0
1328	30	Yes	Travel_Rarely	1331	Research & Development	2	3	Life Sciences	1	Male	37	4	2	Research Director	4	Divorced	6153	26299	0	No	17	3	3	0	10	3	3	3	1	1	2
501	31	No	Travel_Rarely	1235	Research & Development	1	4	Marketing	3	Male	71	2	2	Healthcare Representative	1	Married	6945	14161	2	No	11	3	4	2	6	5	2	1	1	0	0
1032	44	No	Travel_Rarely	217	Research & Development	8	2	Marketing	4	Female	70	3	4	Research Scientist	4	Single	11777	3245	2	No	20	3	3	1	21	6	3	12	0	1	2
809	31	No	Travel_Rarely	144	Research & Development	1	4	Marketing	1	Female	66	3	3	Laboratory Technician	3	Single	9672	13783	4	No	11	3	4	1	10	0	3	10	10	0	7
917	51	Yes	Travel_Frequently	505	Research & Development	2	1	Human Resources	2	Male	91	4	2	Manager	1	Single	7390	13687	3	No	21	4	1	2	27	3	2	0	0	0	0
84	29	No	Travel_Frequently	839	Sales	13	1	Life Sciences	2	Female	92	4	1	Sales Executive	4	Married	3809	14321	3	No	15	3	4	0	6	5	3	0	0	0	0
683	43	No	Travel_Rarely	1303	Research & Development	8	1	Marketing	3	Male	55	2	4	Manufacturing Director	3	Single	11513	22877	3	No	16	4	4	0	20	1	3	9	0	0	0
49	35	No	Travel_Rarely	531	Research & Development	1	2	Other	3	Male	47	4	2	Research Scientist	4	Single	6740	11561	2	No	12	3	4	1	14	5	3	2	2	2	1
1138	43	No	Travel_Frequently	1415	Research & Development	14	4	Life Sciences	4	Male	74	1	2	Healthcare Representative	2	Married	7646	22936	1	Yes	23	3	4	2	22	6	2	3	2	1	0
156	39	No	Travel_Rarely	997	Research & Development	17	2	Technical Degree	2	Male	79	2	2	Research Scientist	4	Married	7210	26993	5	No	15	3	3	0	15	1	3	7	2	1	0
908	42	No	Travel_Rarely	974	Research & Development	12	3	Technical Degree	3	Male	64	3	1	Manager	4	Married	4498	5550	2	Yes	25	3	2	0	17	2	2	3	0	0	2
1411	25	No	Travel_Rarely	1110	Sales	1	2	Life Sciences	3	Male	80	4	2	Sales Executive	1	Married	7587	16389	1	Yes	13	3	2	0	1	0	2	1	1	0	1
430	18	Yes	Travel_Rarely	314	Research & Development	4	2	Life Sciences	1	Male	59	3	1	Healthcare Representative	4	Married	4277	11251	3	No	14	3	3	0	0	3	1	0	0	0	0
1066	24	No	Travel_Frequently	762	Research & Development	15	4	Life Sciences	3	Male	47	2	2	Research Scientist	3	Married	7218	22199	1	No	15	3	4	1	1	5	4	1	0	1	1
821	29	No	Travel_Rarely	1058	Research & Development	11	1	Technical Degree	3	Female	58	3	3	Healthcare Representative	4	Married	9002	9539	6	No	14	3	1	0	5	3	2	5	0	0	5
1243	41	No	Travel_Rarely	795	Research & Development	29	2	Technical Degree	3	Male	60	4	2	Manufacturing Director	3	Single	7562	11171	1	No	12	4	3	1	19	1	2	1	1	1	1
1496	40	No	Travel_Rarely	1210	Research & Development	2	3	Life Sciences	2	Male	65	3	4	Laboratory Technician	1	Divorced	12066	16686	7	No	12	3	3	0	18	2	2	9	3	3	4
535	23	No	Travel_Rarely	485	Research & Development	2	3	Medical	3	Female	95	3	1	Manufacturing Director	1	Married	4132	6072	1	Yes	20	3	4	0	3	2	4	3	2	2	0
180	42	Yes	Travel_Rarely	965	Research & Development	8	3	Life Sciences	1	Male	73	2	2	Healthcare Representative	3	Single	7195	21219	3	Yes	12	3	1	0	21	0	3	1	1	0	1
426	35	Yes	Travel_Rarely	407	Sales	16	3	Life Sciences	1	Male	85	3	1	Sales Representative	3	Single	3003	18489	0	No	13	3	2	2	15	4	3	0	0	0	0
1261	41	No	Travel_Rarely	492	Research & Development	4	4	Human Resources	3	Female	83	1	2	Laboratory Technician	3	Divorced	7249	21563	1	No	11	3	2	1	16	4	3	4	1	1	1
755	49	Yes	Travel_Rarely	714	Sales	1	1	Marketing	3	Male	49	2	1	Sales Representative	1	Single	3158	3710	3	No	25	3	3	1	27	2	3	3	3	0	1
1027	39	No	Travel_Rarely	302	Human Resources	1	2	Life Sciences	4	Male	99	4	1	Manager	3	Single	4402	26458	2	Yes	24	3	4	0	16	2	3	1	1	1	1
830	39	Yes	Travel_Frequently	1074	Research & Development	15	4	Other	2	Male	82	3	4	Manager	4	Divorced	10724	13388	2	No	16	3	4	0	12	4	3	8	1	2	0
364	44	No	Travel_Rarely	556	Human Resources	4	3	Technical Degree	1	Female	62	3	1	Human Resources	2	Single	3923	10341	3	No	22	3	2	0	20	1	3	0	0	0	0
1190	35	Yes	Travel_Rarely	441	Sales	8	2	Life Sciences	2	Male	85	3	1	Sales Executive	3	Single	4875	3773	1	Yes	17	4	3	2	9	6	2	3	2	1	3
1212	30	No	Travel_Rarely	349	Research & Development	3	2	Life Sciences	4	Female	99	3	2	Laboratory Technician	1	Single	5660	4497	2	Yes	24	3	4	0	6	2	2	0	0	0	0
347	38	No	Travel_Rarely	809	Research & Development	2	3	Life Sciences	4	Male	61	4	2	Research Scientist	2	Married	6849	7876	4	No	17	3	3	1	14	0	3	2	2	2	0
1095	60	No	Travel_Rarely	655	Research & Development	16	4	Life Sciences	4	Male	91	4	5	Research Scientist	3	Married	17471	8839	5	Yes	21	3	3	0	36	1	3	24	1	0	0
644	60	No	Travel_Frequently	352	Research & Development	3	2	Human Resources	1	Male	78	2	3	Healthcare Representative	3	Married	10353	8410	1	No	22	3	3	0	38	5	1	6	0	5	0
669	29	No	Travel_Rarely	107	Sales	1	2	Technical Degree	3	Female	75	2	2	Sales Representative	3	Married	5690	26155	1	No	19	4	3	0	7	0	3	4	3	3	0
1086	52	No	Travel_Rarely	1452	Sales	15	3	Other	4	Male	66	1	1	Sales Executive	3	Married	4692	21406	0	No	15	3	3	2	30	0	2	0	0	0	0
598	34	No	Travel_Rarely	288	Human Resources	1	3	Other	3	Male	81	2	1	Manager	3	Single	6552	3189	3	No	25	3	4	0	10	1	3	3	1	3	0
577	33	Yes	Travel_Rarely	695	Research & Development	5	3	Other	3	Female	62	3	3	Manufacturing Director	1	Married	8987	22848	3	No	11	4	4	1	15	4	2	7	0	0	0
1323	39	Yes	Travel_Frequently	611	Sales	2	1	Technical Degree	4	Female	46	4	4	Sales Representative	4	Divorced	11553	9170	5	Yes	22	3	3	0	16	1	3	12	2	3	1
244	34	No	Travel_Rarely	1439	Research & Development	3	4	Life Sciences	4	Male	97	1	3	Healthcare Representative	3	Divorced	9118	3223	0	No	16	3	1	1	10	5	3	10	0	0	1
818	58	No	Travel_Rarely	1035	Research & Development	1	3	Life Sciences	1	Male	35	2	2	Research Director	1	Divorced	6175	16418	2	No	25	3	4	0	38	1	3	1	0	0	1
627	33	No	Travel_Rarely	1478	Research & Development	4	3	Life Sciences	4	Male	80	2	1	Manager	4	Married	4236	10376	2	No	25	3	2	1	10	5	2	3	0	3	2
778	46	Yes	Travel_Rarely	799	Research & Development	2	3	Other	3	Female	68	4	1	Manager	4	Single	3621	7537	2	Yes	24	3	2	1	24	2	3	1	1	1	1
906	30	No	Travel_Frequently	328	Research & Development	18	3	Human Resources	3	Male	31	3	2	Research Director	4	Married	7334	15656	4	No	18	3	3	2	7	3	2	7	0	0	2
421	35	Yes	Travel_Rarely	358	Sales	13	3	Other	1	Male	82	2	2	Sales Executive	4	Married	6355	15108	1	No	15	4	3	1	13	4	2	0	0	0	0
1436	26	No	Travel_Rarely	309	Research & Development	2	3	Marketing	2	Female	98	3	1	Manager	4	Single	4862	9838	1	No	12	3	4	2	2	6	4	0	0	0	0
555	21	Yes	Non-Travel	625	Research & Development	14	3	Human Resources	3	Male	48	1	2	Manager	3	Single	7653	24146	4	No	14	3	1	1	0	0	2	0	0	0	0
309	29	No	Travel_Frequently	1453	Sales	29	2	Technical Degree	4	Female	48	3	1	Sales Executive	4	Married	3319	25797	2	No	25	3	3	3	5	5	2	3	1	0	3
1111	40	No	Travel_Rarely	358	Sales	1	3	Life Sciences	3	Female	41	3	3	Manager	3	Married	7666	19861	0	No	18	4	3	1	16	4	3	4	0	1	0
399	27	No	Travel_Rarely	918	Sales	5	2	Life Sciences	2	Female	80	3	1	Manager	1	Married	5014	24490	6	No	20	4	2	0	2	4	3	1	0	0	1
371	24	Yes	Travel_Rarely	1100	Research & Development	9	4	Other	4	Male	83	3	2	Manager	2	Single	5807	21168	2	Yes	12	3	1	2	14	6	3	0	0	0	0
55	30	No	Travel_Rarely	1097	Research & Development	29	4	Life Sciences	4	Male	95	4	3	Research Scientist	1	Divorced	7609	10005	2	No	19	3	3	1	8	3	1	4	4	1	0
800	40	No	Travel_Rarely	1212	Sales	3	1	Life Sciences	3	Female	94	3	4	Sales Executive	4	Married	11621	11901	2	No	23	3	2	1	19	6	3	10	0	0	4
760	32	No	Travel_Frequently	262	Research & Development	3	3	Life Sciences	2	Female	77	4	1	Healthcare Representative	4	Single	3846	4063	1	No	17	4	3	1	8	2	3	2	2	2	2
313	47	No	Travel_Rarely	431	Research & Development	1	3	Technical Degree	3	Male	73	1	2	Manufacturing Director	1	Married	6257	22835	1	Yes	12	3	2	0	14	5	3	1	1	1	0
937	30	No	Travel_Rarely	1203	Research & Development	2	4	Life Sciences	2	Male	40	4	2	Manager	4	Married	8364	11471	1	No	24	3	4	1	5	5	3	4	2	0	4
110	20	Yes	Travel_Rarely	1322	Research & Development	1	2	Life Sciences	3	Female	67	1	1	Research Director	4	Single	3374	23962	3	No	21	3	2	2	0	6	3	0	0	0	0
814	22	No	Travel_Rarely	588	Research & Development	8	4	Technical Degree	4	Female	81	4	1	Manufacturing Director	3	Married	2398	11638	3	No	14	3	4	3	0	5	3	0	0	0	0
1440	45	No	Travel_Rarely	491	Research & Development	3	3	Marketing	3	Male	100	3	5	Manufacturing Director	2	Single	14407	5120	4	No	21	3	3	3	24	3	3	23	1	3	2
101	38	No	Travel_Rarely	595	Sales	5	1	Technical Degree	1	Female	51	4	2	Sales Executive	4	Single	4847	22181	3	Yes	12	3	2	0	20	3	4	0	0	0	0
1233	34	No	Non-Travel	892	Research & Development	1	3	Life Sciences	3	Male	48	4	4	Research Director	3	Married	12098	2044	6	No	25	3	3	1	13	2	2	9	2	0	5
681	41	No	Non-Travel	855	Sales	5	3	Human Resources	2	Male	45	4	4	Sales Executive	4	Single	12037	17485	1	No	25	3	2	1	19	5	3	11	5	1	5
1453	34	No	Non-Travel	407	Research & Development	9	5	Marketing	4	Female	53	3	4	Laboratory Technician	4	Married	11928	22669	0	No	14	3	4	0	12	6	2	12	1	6	4
267	30	Yes	Travel_Rarely	297	Research & Development	10	3	Life Sciences	4	Male	82	4	2	Healthcare Representative	2	Married	6454	6686	4	Yes	11	4	3	0	5	4	3	1	1	1	0
1327	35	No	Non-Travel	1435	Sales	2	4	Life Sciences	2	Male	63	3	1	Sales Representative	3	Married	5217	3253	2	No	12	4	4	0	12	6	3	2	1	0	1
297	42	Yes	Non-Travel	885	Sales	1	3	Life Sciences	4	Female	34	3	3	Manager	1	Single	10003	26008	1	No	17	4	1	0	21	6	2	5	4	3	1
1352	41	No	Travel_Rarely	755	Human Resources	1	3	Technical Degree	3	Male	71	4	5	Manager	3	Married	14495	15692	1	No	23	3	3	1	20	1	3	12	0	1	4
1238	41	No	Travel_Rarely	167	Research & Development	8	2	Life Sciences	4	Male	37	2	1	Healthcare Representative	3	Divorced	3055	14157	5	No	20	4	1	1	21	6	3	3	0	0	0
1341	41	No	Travel_Rarely	1012	Research & Development	1	4	Life Sciences	4	Female	63	3	3	Manager	3	Single	8357	8619	6	No	22	3	1	2	17	4	2	6	1	1	1
966	37	No	Travel_Frequently	945	Research & Development	2	3	Marketing	4	Male	98	4	2	Healthcare Representative	4	Married	6825	10210	2	Yes	23	3	1	0	10	0	3	2	2	0	1
378	46	No	Travel_Rarely	106	Research & Development	10	2	Life Sciences	1	Male	96	2	2	Research Scientist	3	Married	7677	14155	3	No	25	3	4	1	26	5	3	1	1	0	1
287	30	No	Travel_Frequently	1387	Research & Development	3	2	Medical	3	Male	43	4	4	Laboratory Technician	4	Married	12091	20030	0	No	21	3	3	1	10	5	2	10	4	0	0
1454	42	No	Travel_Rarely	1204	Sales	3	3	Technical Degree	4	Male	34	2	2	Sales Representative	2	Married	5396	9592	2	No	12	3	4	0	23	1	3	0	0	0	0
742	32	No	Travel_Frequently	927	Research & Development	9	2	Technical Degree	4	Male	87	4	2	Healthcare Representative	3	Married	4672	13472	1	No	21	3	3	0	13	4	4	2	0	0	0
127	37	Yes	Travel_Rarely	281	Research & Development	9	1	Human Resources	3	Male	67	2	2	Research Director	1	Divorced	7356	5236	2	Yes	21	3	3	0	16	6	3	5	0	3	4
328	35	No	Travel_Rarely	977	Research & Development	1	2	Human Resources	2	Female	57	4	2	Healthcare Representative	4	Married	6760	25267	1	No	11	4	2	3	14	5	3	0	0	0	0
293	51	Yes	Travel_Rarely	555	Research & Development	1	3	Life Sciences	3	Male	33	2	3	Healthcare Representative	3	Married	9034	23776	1	Yes	23	3	1	1	28	6	3	9	2	3	0
1354	38	Yes	Travel_Rarely	1239	Sales	3	3	Life Sciences	2	Male	99	4	1	Sales Representative	1	Married	3264	5353	1	Yes	14	3	1	0	13	5	3	3	3	0	0
1041	29	Yes	Travel_Rarely	409	Sales	17	3	Technical Degree	2	Female	98	1	2	Manager	3	Single	7057	17888	4	Yes	14	3	2	2	4	0	3	4	0	2	0
1408	45	Yes	Travel_Rarely	787	Research & Development	1	3	Other	3	Male	62	2	2	Research Director	1	Divorced	4218	18694	2	Yes	16	3	4	1	24	4	2	0	0	0	0
356	43	Yes	Travel_Rarely	594	Human Resources	4	2	Life Sciences	1	Male	53	4	3	Manager	1	Single	9872	19929	2	Yes	12	3	1	0	22	0	2	7	7	1	7
171	23	No	Travel_Rarely	1148	Research & Development	2	2	Life Sciences	3	Male	83	4	2	Healthcare Representative	3	Married	4620	5184	2	No	20	3	4	0	0	3	3	0	0	0	0
736	35	No	Travel_Rarely	770	Research & Development	21	3	Life Sciences	3	Female	31	4	1	Research Director	3	Married	3314	20068	5	No	24	3	2	1	12	1	3	0	0	0	0
1019	40	No	Travel_Rarely	964	Research & Development	4	2	Other	2	Male	48	1	3	Research Director	3	Divorced	8204	12090	4	No	21	3	4	0	16	5	3	4	3	0	0
1345	36	No	Travel_Rarely	1427	Research & Development	18	4	Life Sciences	2	Female	65	2	1	Laboratory Technician	4	Married	3893	4689	7	No	17	3	3	0	11	3	3	1	1	1	0
210	42	No	Travel_Frequently	1224	Research & Development	3	3	Medical	4	Male	89	3	1	Manufacturing Director	2	Single	3986	5998	4	No	13	3	3	2	21	2	2	3	1	2	0
611	40	No	Non-Travel	970	Research & Development	15	3	Human Resources	3	Male	65	2	4	Manufacturing Director	4	Married	6552	4029	1	No	20	3	2	0	19	4	3	9	1	0	0
528	48	No	Travel_Rarely	1397	Research & Development	1	3	Medical	1	Male	81	2	1	Research Director	2	Married	5513	21848	1	Yes	25	3	1	0	27	1	3	3	3	1	3
141	52	Yes	Travel_Rarely	756	Research & Development	2	2	Technical Degree	1	Male	84	4	1	Healthcare Representative	2	Married	3890	24632	2	Yes	19	4	1	2	28	3	2	1	1	0	1
1101	42	No	Travel_Frequently	1010	Sales	13	3	Technical Degree	2	Female	48	3	1	Manager	3	Single	5419	16420	2	Yes	18	3	2	0	20	5	3	2	2	2	2
1006	47	No	Travel_Frequently	755	Human Resources	8	3	Life Sciences	3	Female	46	3	2	Manager	3	Single	6552	12888	3	No	16	3	3	0	23	4	4	6	1	1	6
661	18	Yes	Travel_Rarely	1078	Sales	4	3	Medical	3	Female	66	3	1	Manager	4	Married	4245	8043	5	No	11	3	3	3	0	6	3	0	0	0	0
1202	28	No	Travel_Rarely	1488	Research & Development	3	2	Life Sciences	2	Female	35	1	1	Manufacturing Director	4	Single	3260	24868	1	Yes	16	3	4	1	5	0	3	0	0	0	0
933	39	No	Travel_Frequently	731	Research & Development	1	4	Marketing	3	Female	40	4	2	Research Scientist	2	Divorced	6558	25015	3	No	21	3	3	1	16	5	3	0	0	0	0
1075	32	Yes	Travel_Frequently	585	Research & Development	8	3	Medical	1	Male	94	3	3	Healthcare Representative	1	Married	10098	8913	1	No	21	3	3	3	8	2	2	7	1	1	0
533	26	No	Travel_Rarely	670	Research & Development	2	3	Marketing	4	Male	32	4	1	Research Director	2	Single	4255	14926	1	No	14	3	3	1	8	1	2	3	2	3	2
200	37	No	Travel_Rarely	300	Sales	4	3	Life Sciences	3	Male	32	2	1	Sales Representative	2	Divorced	4003	6176	5	No	18	4	4	3	10	0	3	3	1	0	0
905	35	No	Travel_Rarely	364	Sales	28	3	Technical Degree	3	Female	40	2	1	Manager	1	Divorced	5225	2167	4	No	25	3	1	0	12	2	4	2	2	0	1
1228	26	No	Travel_Rarely	1371	Research & Development	5	2	Life Sciences	4	Male	54	1	2	Research Scientist	2	Married	4803	10570	4	No	22	3	2	1	5	1	2	5	4	4	0
